szTimeFrame	nNpcTID	Name	Map	szTips1	szTips2	szTips3	Desc
OpenLevel69	1980	柴嵩	薦菊洞	長歌門門主，位於60級地圖北方	柴嵩,位於薦菊洞北方		惠水雷公，心系無雙
OpenLevel69	1981	楊瑛	伏牛山	天王幫幫主，位於60級地圖東北	楊瑛,位於伏牛山東北		雲嶺山脈，山河社稷
OpenLevel69	1982	胡神醫	伏牛山	藥王谷穀主，位於60級地圖西方	胡神醫,位於伏牛山西方		雲嶺山脈，藥王穀主
OpenLevel69	1983	秋依水	古戰場	翠煙門門主，位於60級地圖東北	秋依水,位於古戰場東北		雲嶺山脈，心系唐影
OpenLevel69	1984	萬金財	古戰場	有錢的胖子，位於60級地圖西方	萬金財,位於古戰場西方		運鏢之所，行商坐賈
OpenLevel69	1985	虞姬	風陵渡	霸王別姬，位於PK地圖北方	虞姬,位於風陵渡北方		運鏢之所，和垓下歌
OpenLevel89	1966	納蘭潛凜	鎖雲淵	無憂教主，位於10級地圖北方	納蘭潛凜,位於鎖雲淵北方		竹林幽幽，一代梟雄
OpenLevel89	1967	納蘭真	武夷山	忘憂島明珠，位於10級地圖西方	納蘭真,位於武夷山西方		竹林幽幽，蕙質蘭心
OpenLevel89	1968	獨孤劍	雁蕩山	武林盟主，位於10級地圖東方	獨孤劍,位於雁蕩山東方		竹林幽幽，抗金豪俠
OpenLevel89	1969	張琳心	洞庭湖畔	獨孤劍之妻，位於20級地圖西南	張琳心,位於洞庭湖畔西南		羽流禪家，清心之術
OpenLevel89	1970	南宮飛雲	苗嶺	劍中之劍，位於20級地圖南方	南宮飛雲,位於苗嶺南方		羽流禪家，花飛蝴蝶
OpenLevel89	1971	燕若雪	點蒼山	南宮飛雲之妻，位於20級地圖東方	燕若雪,位於點蒼山東方		羽流禪家，金國公主
OpenLevel89	1972	孟知秋	夜郎廢墟	薔薇之父，位於PK地圖南方	孟知秋,位於夜郎廢墟南方		結草為蕩，滄海月明
OpenLevel89	1973	月眉兒	響水洞	飛龍堡少堡主，位於40級地圖北方	月眉兒,位於響水洞北方		結草為蕩，冰心仙子
OpenLevel89	1974	楊影楓	見性峰	悲魔劍聖，位於40級地圖南方	楊影楓,位於見性峰南方		結草為蕩，烈火情天
OpenLevel89	1975	薔薇	劍門關	孟知秋之女，位於40級地圖西南	薔薇,位於劍門關西南		岸芷汀蘭，刁蠻姑娘
OpenLevel89	1976	張如夢	薦菊洞	南宮彩虹之父，位於60級地圖西南	張如夢,位於薦菊洞西南		岸芷汀蘭，孤山印月
OpenLevel89	1977	南宮彩虹	伏牛山	張如夢之妻，位於60級地圖東北	南宮彩虹,位於伏牛山東北		岸芷汀蘭，敢愛敢恨
OpenLevel89	1978	卓非凡	古戰場	藏劍山莊莊主，位於60級地圖東北	卓非凡,位於古戰場東北		竹林幽幽，心狠手辣
OpenLevel89	1979	紫軒	風陵渡	執傘的姑娘，位於PK地圖北方	紫軒,位於風陵渡北方		竹林幽幽，身世淒婉
OpenLevel89	1980	柴嵩	祁連山	長歌門門主，位於80級地圖北方	柴嵩,位於祁連山北方		竹林幽幽，雲海夢蝶
OpenLevel89	1981	楊瑛	祁連山	天王幫幫主，位於80級地圖西方	楊瑛,位於祁連山西方		洱源下關，巾幗鬚眉
OpenLevel89	1982	胡神醫	沙漠遺跡	藥王谷穀主，位於80級地圖西方	胡神醫,位於沙漠遺跡西方		洱源下關，騎驢之人
OpenLevel89	1983	秋依水	沙漠遺跡	翠煙門門主，位於80級地圖東方	秋依水,位於沙漠遺跡東方		洱源下關，雪映紅塵
OpenLevel89	1984	萬金財	敦煌古城	有錢的胖子，位於80級地圖北方	萬金財,位於敦煌古城北方		紛爭之地，金牙胖子
OpenLevel89	1985	虞姬	敦煌古城	霸王別姬，位於80級地圖南方	虞姬,位於敦煌古城南方		紛爭之地，西楚美人
